pg_num,layout,text,confidence
1,SectionHeader,chapitre 1 contenu et expression,0.9772032353140059
1,Text,"Comment entrer dans l'œuvre de Kafka ? C'est un rhizome, un terrier. Le Château a « des entrées mul- tiples » dont on ne sait pas bien les lois d'usage et de distribution. L'hôtel d'Amérique a d'innombrables portes, principales et auxiliaires, sur lesquelles veillent autant de concierges, et même des entrées et des sorties sans portes. Il semble pourtant que le Terrier, dans la nouvelle de ce nom, n'ait qu'une entrée ; tout au plus la bête songe-t-elle à la possibilité d'une seconde entrée qui n'aurait qu'une fonction de surveillance. Mais c'est un piège, de la bête, et de Kafka lui-même ; toute la description du terrier est faite pour tromper l'enne- mi. On entrera donc par n'importe quel bout, aucun ne vaut mieux que l'autre, aucune entrée n'a de privi- lège, même si c'est presque une impasse, un étroit boyau, un siphon, etc. On cherchera seulement avec quels autres points se connecte celui par lequel on entre, par quels carrefours et galeries on passe pour connecter deux points, quelle est la carte du rhizome, et comment elle se modifierait immédiatement si l'on entrait par un autre point. Le principe des entrées multiples empêche seul l'introduction de l'ennemi, le Signifiant, et les tentatives pour interpréter une œuvre qui ne se propose en fait qu'à l'expérimentation.",0.9895612620633822
1,Text,"Nous prenons une entrée modeste, celle du Château, dans la salle d'auberge où K découvre le <i>portrait</i> d'un",0.9868811074112143
1,PageFooter,7,0.9926793575286865
2,PageHeader,<b>KAFKA</b>,0.9807734063693455
2,Text,"portier à la tête penchée, au menton enfoncé dans la poitrine. Ces deux éléments, le portrait ou la photo, la tête abattue penchée, sont constants chez Kafka, avec des degrés d'autonomie variables. Photo des parents dans Amérique. Portrait de la dame en fourrure dans la Métamorphose (là c'est la mère réelle qui a la tête penchée, et le père réel qui a une livrée de portier). Prolifération de photos et de portraits dans le Procès, depuis la chambre de Mlle Bürstner jusqu'à l'atelier de Titorelli. La tête penchée qu'on ne peut plus relever apparaît tout le temps, dans les lettres, dans les Carnets et dans le Journal, dans les nouvelles, encore dans le Procès où les juges ont le dos courbé contre le plafond, une partie des assistants, le bourreau, le prêtre... L'entrée que nous choisissons n'est donc pas seulement, comme on peut l'espérer, en connexion avec d'autres choses à venir. Elle est elle-même consti- tuée par la mise en connexion de deux formes relati- vement indépendantes, la forme de contenu « tête- penchée », la forme d'expression « portrait-photo » qui se réunissent au début du Château. Nous n'interprétons pas. Nous disons seulement que cette réunion opère un blocage fonctionnel, une neutralisation de désir expé- rimentale : la photo intouchable, imbaisable, interdite, encadrée, qui ne peut plus jouir que de sa propre vue, comme le désir empêché par le toit ou le plafond, le désir soumis qui ne peut plus jouir que de sa propre soumision. Et aussi le désir qui impose la soumission, la propage, le désir qui juge et qui condamne (tel le père du Verdict, qui penche si fort la tête que le fils doit s'agenouiller). Souvenir d'enfance œdipien ? Le sou- venir est portrait de famille ou photo de vacances, avec des messieurs à tête penchée, des dames au cou enrubanné<sup>1</sup>. Il bloque le désir, il en tire des calques,",0.9896233215345811
2,Footnote,"1. Le cou féminin recouvert ou nu, a autant d'importance que la tête masculine, penchée ou redressée : « Le col cerclé de",0.9887542347113292
2,PageFooter,8,0.9969720840454102
3,PageHeader,CONTENU ET EXPRESSION,0.9646867087909153
3,Text,"il le rabat sur des strates, il le coupe de toutes ses connexions. Mais alors que pouvons-nous espérer ? C'est une impasse. Il est entendu toutefois que même une impasse est bonne, en tant qu'elle peut faire partie du rhizome.",0.9884438699968061
3,Text,"La tête qui se redresse, la tête qui crève le toit ou le plafond, semble répondre à la tête penchée. On la retrouve partout chez Kafka<sup>2</sup>. Et dans le Château, au portrait du portier, répond l'évocation du clocher<br>natal qui « montait tout droit sans une hésitation et se rajeunissait en haut » (même la tour du château, comme machine de désir, évoque sur un mode triste le mouvement d'un habitant qui se serait levé en cre- vant le toit). Pourtant l'image du clocher natal n'est-elle pas encore un souvenir ? Le fait est qu'elle n'agit plus ainsi. Elle agit comme bloc d'enfance, et non comme souvenir d'enfance, redressant le désir au lieu de le rabattre, le déplaçant dans le temps, le déterritoriali- sant, faisant proliférer ses connexions, le faisant passer dans d'autres intensités (ainsi la tour-clocher, comme bloc, passe dans deux autres scènes, celle de l'institu- teur et des enfants dont on ne comprend pas ce qu'ils disent, et la scène de famille déplacée, redressée ou renversée, où ce sont les adultes qui se baignent dans un baquet). Mais ce n'est pas l'important. L'important, c'est la petite musique, ou plutôt le son pur intense émanant du clocher, et de la tour du château : « Un son ailé, un son joyeux qui faisait trembler l'âme un",0.9898118718309123
3,Footnote,"velours noir », « la collerette en dentelle de soie », « le col de fine dentelle blanche », etc.",0.9827092979083863
3,Footnote,"2. Déjà dans une lettre à un ami d'enfance, Oskar Pollak : « Lorsque le grand honteux se levait de son escabeau, il perçait tout droit le plafond avec son crâne anguleux, et il lui failait contempler des toits de chaume sans y tenir spécialement ». Et Journal 1913 (Grasset, p. 280) : « Etre tiré avec une corde qu'on vous a mise autour du cou, passer par la fenêtre du rez-de- chaussée d'une maison... »",0.9853417668183605
3,PageFooter,9,0.9918690919876099
4,SectionHeader,<b>KAFKA</b>,0.9788237128938947
4,Text,"instant ; on eût dit, car il avait aussi un accent doulou- reux, qu'il vous menaçait de l'accomplissement des choses que votre cœur souhaitait obscurément ; puis la grande cloche se tut bientôt, relayée par une petite qui sonnait faible et monotone... » C'est curieux comme l'intrusion du son se fait souvent chez Kafka en connexion avec le mouvement de dresser ou de redres- ser la tête : Joséphine la souris ; les jeunes chiens musi- ciens (« Tout était musique, leur manière de lever et de poser les pattes, certains mouvements de leur tête..., ils marchaient debout sur les jambes de derrière,... ils se redressaient rapidement... »). C'est surtout dans la Métamorphose qu'apparaît la distinction de deux états du désir, d'une part lorsque Grégoire se colle sur le portrait de la dame à la fourrure et penche la tête vers la porte, dans un effort désespéré pour conserver quel- que chose dans sa chambre de famille qu'on est en train de vider, d'autre part lorsque Grégoire sort de cette chambre, guidé par le son vacillant du violon, projette de grimper jusqu'au cou dégagé de sa sœur qui ne porte plus ni col ni ruban depuis qu'elle a perdu sa situation sociale). Différence entre un inceste plas- tique encore œdipien, sur une photo maternelle, et un inceste schizo, avec la sœur et la petite musique qui en sort étrangement? La musique semble toujours prise dans un devenir-enfant, ou dans un devenir-animal indécomposable, bloc sonore qui s'oppose au souvenir visuel. « L'obscurité, s'il vous plaît! Je ne saurais jouer dans la lumière, dis-je en me redressant »<sup>3</sup>. On pourrait croire qu'il y a là deux nouvelles formes : tête redressée comme forme de contenu, son musical comme forme d'expression. Faut-il écrire les équations sui- vantes :",0.9868104215264376
4,Footnote,"3. Description d'un combat. (La première partie de Description d'un combat développe constamment ce double mouvement tête penchée-tête redressée, celle-ci en rapport avec des sons.)",0.9896431653774157
4,PageFooter,10,0.9915092885494232
5,SectionHeader,CONTENU ET EXPRESSION,0.9646651290711903
5,TableOfContents,"désir bloqué, soumis ou soumetteur,<br>neutralisé, à connexion minima, sou- tête penchée portrait-photo venir d'enfance, territorialité ou reter- ritorialisation. tête relevée désir qui se redresse, ou se défile, et <math>=</math>s'ouvre à de nouvelles connexions, son musical bloc d'enfance ou bloc animal, déter-",0.9862066601748218
5,Text,"Ce n'est pas encore ça. Ce n'est certes pas la musique organisée, la forme musicale, qui intéresse Kafka (dans<br>ses lettres et son journal on ne relève que des anecdotes insignifiantes sur quelques musiciens). Ce n'est pas une musique composée, sémiotiquement formée, qui inté- resse Kafka, mais une pure matière sonore. Si l'on recense les principales scènes d'intrusion sonore, on obtient à peu près : le concert à la John Cage, dans<br>Description d'un combat où <math>1^{\circ}</math>) le Dévot veut jouer<br>du piano, parce qu'il est sur le point d'être heureux ;<br><math>2^{\circ}</math>) ne sait pas jouer ; <math>3^{\circ}</math>) ne joue pas du tou à l'autre bout de la pièce, tout en sifflant un petit air et en me balançant en cadence »); 4°) est félicité d'avoir si bien joué. Dans Recherches d'un chien, les chiens musiciens produisent un grand vacarme, mais on ne sait pas comment, puisqu'ils ne parlent, ne chantent ni n'aboient, faisant surgir la musique du néant. Dans Joséphine la cantatrice ou le Peuple des souris, il est improbable que Joséphine chante, elle siffle seulement et pas mieux qu'une autre souris, plutôt moins bien, de telle manière que le mystère de son art inexistant devient encore plus grand. Dans Amérique, Karl Ross- man joue trop vite ou trop lentement, ridicule, et sen- tant « un autre chant monter en lui ». Dans la Méta- morphose, le son intervient d'abord comme piaulement qui entraîne la voix de Grégoire et brouille la résonance",0.98886941392623
5,PageFooter,11,0.9840724468231201
