page,text,confidence,bbox
,chapitre 1,0.9759287059307098,"66.0,66.0,228.0,96.0"
,contenu et expression,0.978477764697302,"66.0,110.0,413.0,141.0"
,Comment entrer dans l'œuvre de Kafka ? C'est un,0.9856474183975382,"93.0,378.0,658.0,405.0"
,"rhizome, un terrier. Le Château a « des entrées mul-",0.9903129625778931,"66.0,407.0,657.0,431.0"
,tiples » dont on ne sait pas bien les lois d'usage et de,0.9908154223646436,"67.0,434.0,657.0,459.0"
,distribution.,0.98688438305488,"67.0,459.0,206.0,483.0"
,L'hôtel d'Amérique a d'innombrables,0.9894686784063067,"205.0,462.0,657.0,484.0"
,"portes, principales et auxiliaires, sur lesquelles veillent",0.9891605053917837,"66.0,488.0,657.0,510.0"
,"autant de concierges, et même des entrées et des sorties",0.9896095150283405,"67.0,512.0,657.0,536.0"
,"sans portes. Il semble pourtant que le Terrier, dans la",0.9903281753713434,"66.0,539.0,657.0,565.0"
,"nouvelle de ce nom, n'ait qu'une entrée ; tout au plus",0.988988522026274,"66.0,567.0,657.0,591.0"
,la bête songe-t-elle à la possibilité d'une seconde entrée,0.990198318300576,"66.0,592.0,656.0,616.0"
,qui n'aurait qu'une fonction de surveillance. Mais,0.9901631820201874,"66.0,619.0,656.0,643.0"
,"c'est un piège, de la bête, et de Kafka lui-même ; toute",0.9839448684028217,"66.0,645.0,656.0,670.0"
,la description du terrier est faite pour tromper l'enne-,0.9905324833733695,"66.0,673.0,656.0,697.0"
,"mi. On entrera donc par n'importe quel bout, aucun",0.9904980456829071,"66.0,699.0,656.0,724.0"
,"ne vaut mieux que l'autre, aucune entrée n'a de privi-",0.9902372514760053,"66.0,725.0,656.0,750.0"
,"lège, même si c'est presque une impasse, un étroit",0.9903323972225189,"66.0,752.0,656.0,777.0"
,"boyau, un siphon, etc. On cherchera seulement avec",0.9898059916496277,"66.0,778.0,656.0,803.0"
,quels autres points se connecte celui par lequel on,0.9905668310090607,"66.0,806.0,657.0,830.0"
,"entre, par quels carrefours et galeries on passe pour",0.9905579393764712,"66.0,833.0,656.0,857.0"
,"connecter deux points, quelle est la carte du rhizome,",0.9905255425859381,"66.0,858.0,654.0,883.0"
,et comment elle se modifierait immédiatement si l'on,0.9896209354584034,"66.0,886.0,656.0,906.0"
,entrait par un autre point. Le principe des entrées,0.9903912474127377,"66.0,912.0,656.0,936.0"
,"multiples empêche seul l'introduction de l'ennemi, le",0.9897714234747976,"65.0,937.0,656.0,962.0"
,"Signifiant, et les tentatives pour interpréter une œuvre",0.9907665018524442,"66.0,965.0,656.0,990.0"
,qui ne se propose en fait qu'à l'expérimentation.,0.9899030096676885,"66.0,991.0,591.0,1016.0"
,"Nous prenons une entrée modeste, celle du Château,",0.9894437551498413,"92.0,1019.0,655.0,1041.0"
,dans la salle d'auberge où K découvre le <i>portrait</i> d'un,0.9843184596725872,"66.0,1042.0,656.0,1067.0"
,7,0.9926793575286865,"640.0,1102.0,654.0,1119.0"
,<b>KAFKA</b>,0.9807734063693455,"66.0,71.0,139.0,86.0"
,"portier à la tête penchée, au menton enfoncé dans la",0.9894647391942831,"67.0,117.0,657.0,143.0"
,"poitrine. Ces deux éléments, le portrait ou la photo,",0.9901940901324434,"68.0,142.0,657.0,169.0"
,"la tête abattue penchée, sont constants chez Kafka,",0.990256785177717,"67.0,169.0,657.0,196.0"
,avec des degrés d'autonomie variables. Photo des,0.9900521673262119,"68.0,195.0,656.0,220.0"
,parents dans Amérique. Portrait de la dame en fourrure,0.9898074412787402,"67.0,221.0,656.0,247.0"
,dans la Métamorphose (là c'est la mère réelle qui a,0.9900304745225346,"67.0,247.0,657.0,276.0"
,"la tête penchée, et le père réel qui a une livrée de",0.9903480043778052,"67.0,273.0,657.0,301.0"
,portier). Prolifération de photos et de portraits dans,0.9901013539897071,"67.0,301.0,657.0,327.0"
,"le Procès, depuis la chambre de Mlle Bürstner jusqu'à",0.9847108260640558,"67.0,327.0,657.0,353.0"
,l'atelier de Titorelli. La tête penchée qu'on ne peut,0.9901849942387275,"66.0,353.0,657.0,380.0"
,"plus relever apparaît tout le temps, dans les lettres,",0.9896918656649413,"66.0,380.0,657.0,407.0"
,"dans les Carnets et dans le Journal, dans les nouvelles,",0.9900448056203979,"67.0,408.0,657.0,433.0"
,encore dans le Procès où les juges ont le dos courbé,0.9905163668669187,"67.0,434.0,657.0,460.0"
,"contre le plafond, une partie des assistants, le bourreau,",0.9907043812603786,"67.0,461.0,657.0,486.0"
,le prêtre... L'entrée que nous choisissons n'est donc,0.9873894329340953,"66.0,486.0,656.0,513.0"
,"pas seulement, comme on peut l'espérer, en connexion",0.9898788596575077,"66.0,512.0,657.0,539.0"
,avec d'autres choses à venir. Elle est elle-même consti-,0.9900278002023697,"67.0,540.0,656.0,564.0"
,tuée par la mise en connexion de deux formes relati-,0.9903994214076263,"67.0,568.0,656.0,592.0"
,"vement indépendantes, la forme de contenu « tête-",0.9905922498021807,"67.0,593.0,656.0,618.0"
,"penchée », la forme d'expression « portrait-photo » qui",0.9907934253866022,"66.0,618.0,657.0,647.0"
,se réunissent au début du Château. Nous n'interprétons,0.9900349533116376,"67.0,644.0,657.0,670.0"
,pas. Nous disons seulement que cette réunion opère un,0.9906180096122453,"67.0,672.0,658.0,698.0"
,"blocage fonctionnel, une neutralisation de désir expé-",0.9895936482482486,"67.0,696.0,657.0,725.0"
,"rimentale : la photo intouchable, imbaisable, interdite,",0.9864951936261994,"67.0,724.0,657.0,750.0"
,"encadrée, qui ne peut plus jouir que de sa propre vue,",0.990756932232115,"66.0,750.0,656.0,779.0"
,"comme le désir empêché par le toit ou le plafond, le",0.9900108931156305,"66.0,777.0,657.0,804.0"
,désir soumis qui ne peut plus jouir que de sa propre,0.9902887413134942,"66.0,805.0,658.0,832.0"
,"soumision. Et aussi le désir qui impose la soumission, la",0.9901065146713927,"66.0,831.0,658.0,858.0"
,"propage, le désir qui juge et qui condamne (tel le père",0.9903799902309071,"66.0,857.0,657.0,885.0"
,"du Verdict, qui penche si fort la tête que le fils doit",0.9903752316128124,"66.0,883.0,657.0,910.0"
,s'agenouiller). Souvenir d'enfance œdipien ? Le sou-,0.9842410546082717,"66.0,910.0,657.0,938.0"
,"venir est portrait de famille ou photo de vacances,",0.9905020501099381,"66.0,937.0,657.0,964.0"
,"avec des messieurs à tête penchée, des dames au cou",0.99012205063128,"67.0,963.0,658.0,990.0"
,"enrubanné<sup>1</sup>. Il bloque le désir, il en tire des calques,",0.9884781837463379,"66.0,990.0,658.0,1015.0"
,"1. Le cou féminin recouvert ou nu, a autant d'importance que",0.9900833249092102,"88.0,1027.0,659.0,1051.0"
,"la tête masculine, penchée ou redressée : « Le col cerclé de",0.9874251445134481,"66.0,1046.0,658.0,1070.0"
,8,0.9969720840454102,"66.0,1100.0,82.0,1118.0"
,CONTENU ET EXPRESSION,0.9646867087909153,"382.0,70.0,658.0,86.0"
,"il le rabat sur des strates, il le coupe de toutes ses",0.9904377979260904,"66.0,117.0,658.0,143.0"
,connexions. Mais alors que pouvons-nous espérer ?,0.982522691999163,"67.0,143.0,658.0,169.0"
,C'est une impasse. Il est entendu toutefois que même,0.9905964571696061,"67.0,168.0,659.0,197.0"
,"une impasse est bonne, en tant qu'elle peut faire partie",0.9903885817953518,"67.0,196.0,659.0,221.0"
,du rhizome.,0.9882738210938193,"67.0,226.0,195.0,243.0"
,"La tête qui se redresse, la tête qui crève le toit ou le",0.9904404293213572,"93.0,249.0,658.0,276.0"
,"plafond, semble répondre à la tête penchée. On la",0.9905617322240557,"67.0,274.0,659.0,301.0"
,"retrouve partout chez Kafka<sup>2</sup>. Et dans le Château, au",0.9864025590596376,"66.0,301.0,658.0,328.0"
,"portrait du portier, répond l'évocation du clocher<br>natal qui « montait tout droit sans une hésitation et",0.9838310749484942,"66.0,325.0,658.0,382.0"
,"se rajeunissait en haut » (même la tour du château,",0.9905254326614679,"66.0,381.0,657.0,408.0"
,"comme machine de désir, évoque sur un mode triste",0.9901456930199448,"66.0,407.0,657.0,434.0"
,le mouvement d'un habitant qui se serait levé en cre-,0.9903056160458978,"66.0,434.0,658.0,460.0"
,vant le toit). Pourtant l'image du clocher natal n'est-elle,0.9905536023236937,"66.0,461.0,657.0,486.0"
,pas encore un souvenir ? Le fait est qu'elle n'agit plus,0.9896740604724202,"66.0,487.0,657.0,514.0"
,"ainsi. Elle agit comme bloc d'enfance, et non comme",0.9902963731803146,"66.0,513.0,657.0,540.0"
,"souvenir d'enfance, redressant le désir au lieu de le",0.9904614450796595,"66.0,541.0,657.0,566.0"
,"rabattre, le déplaçant dans le temps, le déterritoriali-",0.9905191691858428,"66.0,567.0,657.0,593.0"
,"sant, faisant proliférer ses connexions, le faisant passer",0.990215195664044,"66.0,593.0,657.0,618.0"
,"dans d'autres intensités (ainsi la tour-clocher, comme",0.9900210654294049,"66.0,620.0,657.0,645.0"
,"bloc, passe dans deux autres scènes, celle de l'institu-",0.9900257661938667,"66.0,647.0,657.0,671.0"
,teur et des enfants dont on ne comprend pas ce qu'ils,0.9906187248679826,"66.0,674.0,657.0,699.0"
,"disent, et la scène de famille déplacée, redressée ou",0.9905279593647651,"66.0,700.0,658.0,725.0"
,"renversée, où ce sont les adultes qui se baignent dans",0.9905542896853553,"66.0,726.0,657.0,751.0"
,"un baquet). Mais ce n'est pas l'important. L'important,",0.9898879040371288,"66.0,752.0,657.0,777.0"
,"c'est la petite musique, ou plutôt le son pur intense",0.9903931257859716,"66.0,778.0,657.0,804.0"
,"émanant du clocher, et de la tour du château : « Un",0.9892532159300411,"66.0,806.0,659.0,831.0"
,"son ailé, un son joyeux qui faisait trembler l'âme un",0.9906467457987228,"66.0,833.0,657.0,858.0"
,"velours noir », « la collerette en dentelle de soie », « le col de",0.9878230979948333,"66.0,889.0,656.0,911.0"
,"fine dentelle blanche », etc.",0.9775954978219394,"66.0,911.0,324.0,928.0"
,"2. Déjà dans une lettre à un ami d'enfance, Oskar Pollak :",0.9896461460097082,"87.0,930.0,655.0,952.0"
,"« Lorsque le grand honteux se levait de son escabeau, il perçait",0.9904782557860017,"68.0,947.0,656.0,972.0"
,"tout droit le plafond avec son crâne anguleux, et il lui failait contempler des toits de chaume sans y tenir spécialement ». Et",0.9827004910454037,"65.0,965.0,657.0,1014.0"
,"Journal 1913 (Grasset, p. 280) : « Etre tiré avec une corde qu'on",0.986969426045051,"66.0,1009.0,657.0,1029.0"
,"vous a mise autour du cou, passer par la fenêtre du rez-de-",0.9901421110508806,"66.0,1028.0,656.0,1050.0"
,chaussée d'une maison... »,0.9721141709731176,"66.0,1050.0,305.0,1066.0"
,9,0.9918690919876099,"639.0,1101.0,654.0,1119.0"
,<b>KAFKA</b>,0.9788237128938947,"71.0,73.0,143.0,87.0"
,"instant ; on eût dit, car il avait aussi un accent doulou-",0.985344214686032,"70.0,119.0,659.0,145.0"
,"reux, qu'il vous menaçait de l'accomplissement des",0.9906805098056793,"70.0,144.0,660.0,171.0"
,choses que votre cœur souhaitait obscurément ; puis,0.9805217794343537,"70.0,172.0,661.0,197.0"
,"la grande cloche se tut bientôt, relayée par une petite",0.990605500611392,"70.0,197.0,661.0,224.0"
,qui sonnait faible et monotone... » C'est curieux comme,0.9872103398496455,"70.0,224.0,660.0,249.0"
,l'intrusion du son se fait souvent chez Kafka en,0.9901873481770357,"70.0,253.0,661.0,275.0"
,connexion avec le mouvement de dresser ou de redres-,0.9896399229764938,"69.0,279.0,659.0,301.0"
,ser la tête : Joséphine la souris ; les jeunes chiens musi-,0.9879477155410638,"69.0,305.0,659.0,330.0"
,"ciens (« Tout était musique, leur manière de lever et",0.990203671860245,"68.0,330.0,659.0,356.0"
,"de poser les pattes, certains mouvements de leur tête...,",0.989696813257117,"69.0,357.0,659.0,382.0"
,"ils marchaient debout sur les jambes de derrière,... ils",0.9884381166526249,"68.0,383.0,658.0,409.0"
,se redressaient rapidement... »). C'est surtout dans la,0.988668948953802,"68.0,411.0,659.0,435.0"
,Métamorphose qu'apparaît la distinction de deux états,0.9902686757861443,"68.0,437.0,658.0,462.0"
,"du désir, d'une part lorsque Grégoire se colle sur le",0.9900555891810723,"68.0,462.0,659.0,488.0"
,portrait de la dame à la fourrure et penche la tête vers,0.9872136265039444,"68.0,490.0,658.0,514.0"
,"la porte, dans un effort désespéré pour conserver quel-",0.9904596610502763,"67.0,516.0,657.0,542.0"
,que chose dans sa chambre de famille qu'on est en,0.9902982432015088,"66.0,543.0,658.0,568.0"
,"train de vider, d'autre part lorsque Grégoire sort de",0.990619642554589,"66.0,569.0,657.0,596.0"
,"cette chambre, guidé par le son vacillant du violon,",0.9883434153520144,"66.0,595.0,657.0,621.0"
,projette de grimper jusqu'au cou dégagé de sa sœur,0.9894753527641297,"66.0,620.0,656.0,649.0"
,qui ne porte plus ni col ni ruban depuis qu'elle a perdu,0.9888931597982135,"66.0,647.0,657.0,674.0"
,sa situation sociale). Différence entre un inceste plas-,0.9902643550719533,"66.0,675.0,656.0,700.0"
,"tique encore œdipien, sur une photo maternelle, et un",0.9879511066202847,"66.0,702.0,657.0,728.0"
,"inceste schizo, avec la sœur et la petite musique qui",0.9902375711584991,"66.0,728.0,657.0,753.0"
,en sort étrangement? La musique semble toujours,0.9825181999105088,"66.0,752.0,657.0,780.0"
,"prise dans un devenir-enfant, ou dans un devenir-animal",0.9898173635656183,"66.0,780.0,657.0,805.0"
,"indécomposable, bloc sonore qui s'oppose au souvenir",0.9903345921864877,"66.0,806.0,656.0,835.0"
,"visuel. « L'obscurité, s'il vous plaît! Je ne saurais",0.9873711365573811,"66.0,834.0,656.0,860.0"
,"jouer dans la lumière, dis-je en me redressant »<sup>3</sup>. On",0.9816795446655967,"65.0,861.0,655.0,886.0"
,pourrait croire qu'il y a là deux nouvelles formes : tête,0.9894699684360571,"64.0,886.0,655.0,912.0"
,"redressée comme forme de contenu, son musical comme",0.989738709786359,"64.0,913.0,654.0,937.0"
,forme d'expression. Faut-il écrire les équations sui-,0.9903223019725872,"64.0,938.0,654.0,967.0"
,vantes :,0.9302668124437332,"64.0,971.0,148.0,988.0"
,3. Description d'un combat. (La première partie de Description,0.9903667722978899,"84.0,1007.0,655.0,1033.0"
,d'un combat développe constamment ce double mouvement tête,0.9890479476287447,"64.0,1031.0,654.0,1049.0"
,"penchée-tête redressée, celle-ci en rapport avec des sons.)",0.9895147762056125,"63.0,1051.0,581.0,1069.0"
,10,0.9915092885494232,"66.0,1101.0,94.0,1118.0"
,CONTENU ET EXPRESSION,0.9646651290711903,"382.0,69.0,657.0,85.0"
,"désir bloqué, soumis ou soumetteur,<br>neutralisé, à connexion minima, sou-",0.9871912532382541,"250.0,114.0,658.0,170.0"
,tête penchée,0.9894750118255615,"65.0,116.0,205.0,143.0"
,portrait-photo,0.9897252193519047,"65.0,157.0,216.0,182.0"
,"venir d'enfance, territorialité ou reter-",0.9903246135246463,"252.0,167.0,657.0,193.0"
,ritorialisation.,0.9860813952982426,"251.0,196.0,403.0,216.0"
,tête relevée,0.9841290265321732,"66.0,235.0,195.0,255.0"
,"désir qui se redresse, ou se défile, et",0.990427845563644,"252.0,235.0,657.0,261.0"
,"<math>=</math>s'ouvre à de nouvelles connexions,",0.9648657263936223,"228.0,255.0,657.0,286.0"
,son musical,0.9896754947575656,"66.0,278.0,199.0,295.0"
,"bloc d'enfance ou bloc animal, déter-",0.9901710152626038,"252.0,286.0,657.0,310.0"
,ritorialisation.,0.986034207046032,"251.0,316.0,404.0,334.0"
,Ce n'est pas encore ça. Ce n'est certes pas la musique,0.9904105486693205,"93.0,352.0,657.0,383.0"
,"organisée, la forme musicale, qui intéresse Kafka (dans<br>ses lettres et son journal on ne relève que des anecdotes",0.9841171671858931,"65.0,374.0,658.0,436.0"
,insignifiantes sur quelques musiciens). Ce n'est pas une,0.9905258055244174,"66.0,428.0,656.0,460.0"
,"musique composée, sémiotiquement formée, qui inté-",0.9907531833648682,"66.0,455.0,657.0,487.0"
,"resse Kafka, mais une pure matière sonore. Si l'on",0.9891627848148346,"66.0,483.0,656.0,511.0"
,"recense les principales scènes d'intrusion sonore, on",0.9900726259879347,"66.0,510.0,656.0,537.0"
,"obtient à peu près : le concert à la John Cage, dans<br>Description d'un combat où <math>1^{\circ}</math>) le Dévot veut jouer<br>du piano, parce qu'il est sur le point d'être heureux ;<br><math>2^{\circ}</math>) ne sait pas jouer ; <math>3^{\circ}</math>) ne joue pas du tou",0.9743750163812956,"63.0,528.0,658.0,680.0"
,"à l'autre bout de la pièce, tout en sifflant un petit air",0.9899238515318486,"66.0,671.0,655.0,698.0"
,et en me balançant en cadence »); 4°) est félicité,0.9820330822467804,"65.0,696.0,655.0,724.0"
,"d'avoir si bien joué. Dans Recherches d'un chien, les",0.990603674132869,"66.0,721.0,655.0,750.0"
,"chiens musiciens produisent un grand vacarme, mais on",0.9902015170961056,"66.0,749.0,656.0,777.0"
,"ne sait pas comment, puisqu'ils ne parlent, ne chantent",0.9905153512954712,"66.0,774.0,656.0,807.0"
,"ni n'aboient, faisant surgir la musique du néant. Dans",0.9905280713681821,"66.0,800.0,656.0,831.0"
,"Joséphine la cantatrice ou le Peuple des souris, il est",0.9904094121672891,"66.0,829.0,656.0,857.0"
,"improbable que Joséphine chante, elle siffle seulement",0.9899183268900271,"66.0,855.0,656.0,884.0"
,"et pas mieux qu'une autre souris, plutôt moins bien, de",0.9902798923579129,"66.0,882.0,656.0,909.0"
,telle manière que le mystère de son art inexistant,0.9898492550849914,"66.0,908.0,654.0,936.0"
,"devient encore plus grand. Dans Amérique, Karl Ross-",0.9903189746233133,"66.0,934.0,655.0,965.0"
,"man joue trop vite ou trop lentement, ridicule, et sen-",0.9901367978616195,"66.0,962.0,655.0,989.0"
,tant « un autre chant monter en lui ». Dans la Méta-,0.9901866775292617,"66.0,990.0,654.0,1014.0"
,"morphose, le son intervient d'abord comme piaulement",0.9903580741240428,"66.0,1015.0,656.0,1042.0"
,qui entraîne la voix de Grégoire et brouille la résonance,0.9904470161387795,"66.0,1041.0,655.0,1067.0"
,11,0.9840724468231201,"626.0,1101.0,653.0,1118.0"
